student_index,school_index,course_id,section_id,topic_id,module_type,submodule_type,tag_code,question_id,difficulty,right_answer,user_answer,is_right,is_view_answer,is_view_analyze,cost_time,stime,ctime
3,1,1263,40408,22647,2051,0,hx_cz_ll_ysfh,b595c45b-cb6f-11e8-8ce1-7cd30ae45aec,5,"""B""",B,1,0,0,49,2018-12-20 19:34:24,2018-12-20 19:35:13
7,1,1263,40408,22647,2051,0,hx_cz_ll_ysfh,b5ac5ae2-cb6f-11e8-8ce1-7cd30ae45aec,5,"[[""D""],[""ABC""]]",D;A,0,0,0,36,2018-12-20 19:36:12,2018-12-20 19:36:48
7,1,1263,40408,22647,2051,0,hx_cz_sy_04,9df42923-b24e-11e8-8ce1-7cd30ae45aec,5,"""B""",A,0,0,0,19,2018-12-20 19:36:49,2018-12-20 19:37:07
3,1,1263,40408,22647,2051,0,hx_cz_ll_ysfh,b619c204-cb6f-11e8-8ce1-7cd30ae45aec,7,"[[""3S""],[""S{O}_{2}""],[""8{H}_{2}O""],[""{Fe}_{2}{O}_{3}""],[""C{O}_{2}""]]",3O;S{O}_{2};8{H}_{2}O;F{e}_{2}{O}_{3};,0,0,0,99,2018-12-20 19:35:14,2018-12-20 19:39:13
3,1,1263,40408,22647,2051,0,hx_cz_sy_04,9d2f64bd-b24e-11e8-8ce1-7cd30ae45aec,5,"""B""",B,1,0,0,69,2018-12-20 19:39:14,2018-12-20 19:40:22
7,1,1263,40408,22647,2051,0,hx_cz_ll_xdyzzl_04,4da569c7-b24f-11e8-8ce1-7cd30ae45aec,5,"""A""",C,0,0,0,212,2018-12-20 19:37:07,2018-12-20 19:40:39
3,1,1263,40408,22647,2051,0,hx_cz_sy_04,9e3a5d35-b24e-11e8-8ce1-7cd30ae45aec,7,"[[""\u8d1f""],[""\u53d8\u5927""]]",;,1,0,0,95,2018-12-20 19:40:22,2018-12-20 19:41:57
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,d5c7a0f1-a76b-11e8-8ce1-7cd30ae45aec,3,"""B""",B,1,0,0,11,2018-12-20 19:45:32,2018-12-20 19:45:43
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,d5d28ffe-a76b-11e8-8ce1-7cd30ae45aec,3,"""C""",A,0,0,0,10,2018-12-20 19:45:44,2018-12-20 19:45:54
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,d5db0679-a76b-11e8-8ce1-7cd30ae45aec,3,"""D""",D,1,0,0,13,2018-12-20 19:46:03,2018-12-20 19:46:16
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,9dceb7a9-b24e-11e8-8ce1-7cd30ae45aec,6,"""A""",A,1,0,0,52,2018-12-20 19:46:17,2018-12-20 19:47:09
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,9e0f5b40-b24e-11e8-8ce1-7cd30ae45aec,7,"""C""",A,0,0,0,9,2018-12-20 19:47:10,2018-12-20 19:47:19
3,1,1263,40408,22647,2051,0,hx_cz_ll_xdyzzl_04,4d7737d5-b24f-11e8-8ce1-7cd30ae45aec,5,"[[""35""],[""7""],[""1""],[""12""]]",35;7;10;12,0,0,0,353,2018-12-20 19:41:58,2018-12-20 19:47:51
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,9dc637f4-b24e-11e8-8ce1-7cd30ae45aec,4,"""C""",C,1,0,0,31,2018-12-20 19:49:49,2018-12-20 19:50:20
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,9e33262e-b24e-11e8-8ce1-7cd30ae45aec,6,"""AD""",D,0,0,0,14,2018-12-20 19:50:21,2018-12-20 19:50:35
7,1,1263,40408,22647,2052,0,hx_cz_sy_04,9d3a7b0d-b24e-11e8-8ce1-7cd30ae45aec,5,"""B""",B,1,0,0,44,2018-12-20 19:50:45,2018-12-20 19:51:29
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4a3f36f4-a770-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,50,2018-12-20 19:51:17,2018-12-20 19:52:07
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4a495aa3-a770-11e8-8ce1-7cd30ae45aec,3,"""A""",A,1,0,0,67,2018-12-20 19:52:08,2018-12-20 19:53:15
7,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4a3f36f4-a770-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,18,2018-12-20 19:54:43,2018-12-20 19:55:01
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d6d40d2-b24f-11e8-8ce1-7cd30ae45aec,6,"[[""1""],[""16""],[""32""],[""65.3""],[""1""],[""16""],[""32""]]",1;16;32;66.2;1;16;32,0,0,1,196,2018-12-20 19:53:16,2018-12-20 19:56:32
7,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4a495aa3-a770-11e8-8ce1-7cd30ae45aec,3,"""A""",A,1,0,0,118,2018-12-20 19:55:02,2018-12-20 19:57:00
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,0b379ac1-a784-11e8-8ce1-7cd30ae45aec,1,"[[""12""],[""3""],[""8""]]",12;3;8,1,0,0,42,2018-12-20 19:57:51,2018-12-20 19:58:33
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,23af7600-a782-11e8-8ce1-7cd30ae45aec,1,"""C""",C,1,0,0,49,2018-12-20 19:58:34,2018-12-20 19:59:23
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4e069554-b24f-11e8-8ce1-7cd30ae45aec,7,"""D""",C,0,0,1,174,2018-12-20 19:59:24,2018-12-20 20:02:18
7,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d6d40d2-b24f-11e8-8ce1-7cd30ae45aec,6,"[[""1""],[""16""],[""32""],[""65.3""],[""1""],[""16""],[""32""]]",1;16;32;65.3;1;16;32,1,0,1,361,2018-12-20 19:57:01,2018-12-20 20:03:02
7,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4e069554-b24f-11e8-8ce1-7cd30ae45aec,7,"""D""",B,0,0,0,98,2018-12-20 20:03:03,2018-12-20 20:04:41
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d399302-b24f-11e8-8ce1-7cd30ae45aec,2,"[[""9""],[""8""]]",9;8,1,0,1,143,2018-12-20 20:02:34,2018-12-20 20:04:57
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d40a00c-b24f-11e8-8ce1-7cd30ae45aec,2,"[[""90""]]",88,0,0,1,214,2018-12-20 20:04:59,2018-12-20 20:08:33
3,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d320e9c-b24f-11e8-8ce1-7cd30ae45aec,1,"[[""1""],[""8""]]",1;8,1,0,1,26,2018-12-20 20:08:46,2018-12-20 20:09:12
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,ebb1a191-c092-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,15,2018-12-20 20:09:45,2018-12-20 20:10:00
7,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d40a00c-b24f-11e8-8ce1-7cd30ae45aec,2,"[[""90""]]",60,0,0,1,255,2018-12-20 20:05:51,2018-12-20 20:10:05
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,ebbd6afa-c092-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,6,2018-12-20 20:10:02,2018-12-20 20:10:07
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,ebc68223-c092-11e8-8ce1-7cd30ae45aec,3,"""D""",C,0,0,0,25,2018-12-20 20:10:08,2018-12-20 20:10:33
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b5d997e4-cb6f-11e8-8ce1-7cd30ae45aec,5,"""D""",D,1,0,1,25,2018-12-20 20:10:35,2018-12-20 20:11:00
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b6240393-cb6f-11e8-8ce1-7cd30ae45aec,7,"[[""b""],[""d""],[""e""],[""c""]]",ab;d;e;b,0,0,1,201,2018-12-20 20:11:03,2018-12-20 20:14:23
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,1a5614a1-a782-11e8-8ce1-7cd30ae45aec,1,"[[""\u6b63\u786e""]]",,1,0,0,13,2018-12-20 20:14:36,2018-12-20 20:14:49
7,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d399302-b24f-11e8-8ce1-7cd30ae45aec,2,"[[""9""],[""8""]]",9;8,1,0,1,249,2018-12-20 20:10:46,2018-12-20 20:14:55
7,1,1263,40408,22647,2052,0,hx_cz_ll_xdyzzl_04,4d320e9c-b24f-11e8-8ce1-7cd30ae45aec,1,"[[""1""],[""8""]]",1;8,1,0,0,44,2018-12-20 20:14:57,2018-12-20 20:15:40
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b5ce339c-cb6f-11e8-8ce1-7cd30ae45aec,4,"""C""",D,0,0,1,156,2018-12-20 20:14:51,2018-12-20 20:17:26
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b535be81-cb6f-11e8-8ce1-7cd30ae45aec,3,"""A""",A,1,0,1,95,2018-12-20 20:17:28,2018-12-20 20:19:03
3,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b5542798-cb6f-11e8-8ce1-7cd30ae45aec,2,"""C""",C,1,0,0,7,2018-12-20 20:19:04,2018-12-20 20:19:11
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,ebb1a191-c092-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,5,2018-12-20 20:19:32,2018-12-20 20:19:37
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,ebbd6afa-c092-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,4,2018-12-20 20:19:38,2018-12-20 20:19:42
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,ebc68223-c092-11e8-8ce1-7cd30ae45aec,3,"""D""",D,1,0,0,71,2018-12-20 20:19:43,2018-12-20 20:20:54
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b5d997e4-cb6f-11e8-8ce1-7cd30ae45aec,5,"""D""",C,0,0,0,13,2018-12-20 20:20:55,2018-12-20 20:21:08
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,b849a94f-dc11-11e8-8ce1-7cd30ae45aec,3,"""B""",B,1,0,0,72,2018-12-20 20:20:35,2018-12-20 20:21:47
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,b8563113-dc11-11e8-8ce1-7cd30ae45aec,3,"""D""",A,0,0,0,26,2018-12-20 20:21:48,2018-12-20 20:22:14
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,414ec2bd-9a0a-11e8-8ce1-7cd30ae45aec,1,"""B""",B,1,0,0,6,2018-12-20 20:22:25,2018-12-20 20:22:31
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f28dbd4a-de89-11e8-8ce1-7cd30ae45aec,3,"""D""",C,0,0,0,80,2018-12-20 20:22:18,2018-12-20 20:23:38
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b6240393-cb6f-11e8-8ce1-7cd30ae45aec,7,"[[""b""],[""d""],[""e""],[""c""]]",ab;d;e;c,0,0,0,78,2018-12-20 20:22:31,2018-12-20 20:23:49
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f45151f8-de89-11e8-8ce1-7cd30ae45aec,7,"""B""",C,0,0,0,27,2018-12-20 20:23:50,2018-12-20 20:24:17
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f26a9ea2-de89-11e8-8ce1-7cd30ae45aec,2,"""D""",D,1,0,0,12,2018-12-20 20:24:36,2018-12-20 20:24:48
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b549fe05-cb6f-11e8-8ce1-7cd30ae45aec,2,"""B""",B,1,0,0,12,2018-12-20 20:25:25,2018-12-20 20:25:37
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f2dd6b17-de89-11e8-8ce1-7cd30ae45aec,4,"""C""",B,0,0,0,57,2018-12-20 20:24:49,2018-12-20 20:25:46
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b5b84e71-cb6f-11e8-8ce1-7cd30ae45aec,4,"""D""",D,1,0,0,9,2018-12-20 20:25:41,2018-12-20 20:25:49
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f2762e47-de89-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,36,2018-12-20 20:25:54,2018-12-20 20:26:30
7,1,1263,40408,22647,2052,0,hx_cz_ll_ysfh,b5c2d73e-cb6f-11e8-8ce1-7cd30ae45aec,5,"""D""",D,1,0,0,16,2018-12-20 20:26:21,2018-12-20 20:26:37
3,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f2f935e4-de89-11e8-8ce1-7cd30ae45aec,4,"""D""",D,1,0,0,104,2018-12-20 20:26:32,2018-12-20 20:28:16
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,9d94f47a-dc11-11e8-8ce1-7cd30ae45aec,3,"""D""",C,0,0,0,16,2018-12-20 20:30:13,2018-12-20 20:30:29
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,0acb59e9-dc13-11e8-8ce1-7cd30ae45aec,3,"""D""",D,1,0,0,95,2018-12-20 20:30:31,2018-12-20 20:32:05
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,0ad1dec8-dc13-11e8-8ce1-7cd30ae45aec,3,"""C""",C,1,0,0,23,2018-12-20 20:32:06,2018-12-20 20:32:29
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,52c95e60-dc12-11e8-8ce1-7cd30ae45aec,6,"""A""",D,0,0,0,20,2018-12-20 20:32:31,2018-12-20 20:32:50
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,53449c44-dc12-11e8-8ce1-7cd30ae45aec,7,"""B""",B,1,0,0,120,2018-12-20 20:32:59,2018-12-20 20:34:59
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,52705217-dc12-11e8-8ce1-7cd30ae45aec,5,"""C""",C,1,0,0,58,2018-12-20 20:35:11,2018-12-20 20:36:09
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,5394b0fb-dc12-11e8-8ce1-7cd30ae45aec,7,"[[""B""]]",BCD,0,0,0,50,2018-12-20 20:36:11,2018-12-20 20:37:01
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,52e31207-dc12-11e8-8ce1-7cd30ae45aec,6,"""B""",C,0,0,0,21,2018-12-20 20:37:05,2018-12-20 20:37:26
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_03,5217487f-dc12-11e8-8ce1-7cd30ae45aec,4,"""A""",A,1,0,0,18,2018-12-20 20:37:31,2018-12-20 20:37:49
7,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,b849a94f-dc11-11e8-8ce1-7cd30ae45aec,3,"""B""",C,0,0,0,52,2018-12-20 20:37:33,2018-12-20 20:38:25
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_01,9ac57375-dc11-11e8-8ce1-7cd30ae45aec,3,"""B""",B,1,0,0,14,2018-12-20 20:38:25,2018-12-20 20:38:39
7,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,b8563113-dc11-11e8-8ce1-7cd30ae45aec,3,"""D""",A,0,0,0,18,2018-12-20 20:38:30,2018-12-20 20:38:48
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_01,9ace6420-dc11-11e8-8ce1-7cd30ae45aec,3,"""B""",C,0,0,0,16,2018-12-20 20:38:40,2018-12-20 20:38:56
7,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f28dbd4a-de89-11e8-8ce1-7cd30ae45aec,3,"""D""",A,0,0,0,59,2018-12-20 20:38:53,2018-12-20 20:39:52
3,1,1263,40408,22647,2053,0,hx_cz_zt_gn_01,4904b512-dc12-11e8-8ce1-7cd30ae45aec,4,"""D""",A,0,0,0,67,2018-12-20 20:39:02,2018-12-20 20:40:09
7,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f45151f8-de89-11e8-8ce1-7cd30ae45aec,7,"""B""",A,0,0,0,51,2018-12-20 20:42:31,2018-12-20 20:43:22
7,1,1263,40408,22647,2053,0,hx_cz_zt_wz_02,f23765e5-de89-11e8-8ce1-7cd30ae45aec,2,"""B""",B,1,0,0,14,2018-12-20 20:44:36,2018-12-20 20:44:49
