student_index,school_index,course_id,section_id,topic_id,module_type,submodule_type,tag_code,question_title_id,question_id,q_forms,difficulty,right_answer,user_answer,score,user_score,is_right,cost_time,stime,ctime
64,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35868,2,2,"A",A,9,9,1,55,2018-12-16 08:00:18,2018-12-16 08:01:13
19,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35868,2,2,"A",A,9,9,1,43,2018-12-16 08:01:00,2018-12-16 08:01:43
64,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35870,2,3,"A",A,13,13,1,34,2018-12-16 08:01:17,2018-12-16 08:01:51
64,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35871,2,3,"C",C,13,13,1,26,2018-12-16 08:01:52,2018-12-16 08:02:18
19,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35870,2,3,"A",A,13,13,1,38,2018-12-16 08:01:44,2018-12-16 08:02:22
19,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35871,2,3,"C",C,13,13,1,38,2018-12-16 08:02:23,2018-12-16 08:03:01
14,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35868,2,2,"A",A,9,9,1,58,2018-12-16 08:02:06,2018-12-16 08:03:04
14,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35870,2,3,"A",A,13,13,1,31,2018-12-16 08:03:06,2018-12-16 08:03:37
14,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35871,2,3,"C",C,13,13,1,8,2018-12-16 08:03:40,2018-12-16 08:03:48
11,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35868,2,2,"A",A,9,9,1,3,2018-12-16 08:08:30,2018-12-16 08:08:33
11,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35870,2,3,"A",A,13,13,1,3,2018-12-16 08:08:35,2018-12-16 08:08:38
11,1,1293,1121578999008168,22203,1018,0,yd4_15,0,35871,2,3,"C",C,13,13,1,6,2018-12-16 08:08:39,2018-12-16 08:08:45
64,1,1293,1121578999008168,22203,1019,0,yd4_15,0,35877,1,3,"[[""\u592a\u9633\u516c\u516c\u51b2\u7834\u4e86\u4e91\u971e\uff0c\u8df3\u51fa\u4e86\u6d77\u9762\u3002  \u4f5c\u7528\uff1a\u628a\u201c\u592a\u9633\u201d\u62df\u4eba\u5316\u4e3a\u201c\u592a\u9633\u516c\u516c\u201d\uff0c\u628a\u201c\u5347\u201d\u62df\u4eba\u5316\u4e3a\u201c\u8df3\u201d\uff0c\u589e\u5f3a\u4e86\u8bed\u8a00\u7684\u7f8e\u611f\u3001\u8868\u73b0\u529b\uff0c\u4f7f\u53e5\u5b50\u66f4\u751f\u52a8\u3001\u5f62\u8c61\u3002""]]",<p>                                                                                                                                                                                                                                                                                                                                   <br></p>,10,2,0,901,2018-12-16 08:16:10,2018-12-16 08:31:11
