student_index,school_index,course_id,section_id,topic_id,module_type,tag_code,question_title_id,question_id,question_type,module_id,difficulty,right_answer,user_answer,is_right,cost_time,stime,ctime
80,2,1184,33507,19277,0,evyy_2017tb_r_8au5.2,0,188831,1,0,2,"A",A,1,12,01-Dec-2018 10:55:14,01-Dec-2018 10:55:26
73,2,877,22473,12130,0,ep_2018_xxcj_3CU2,0,323131,1,0,5,"B",B,1,14,01-Dec-2018 10:55:22,01-Dec-2018 10:55:36
3,2,1184,33507,19277,0,evyy_2017tb_r_8au5.4,0,188884,3,0,3,"successful",successfully,0,80,01-Dec-2018 10:54:18,01-Dec-2018 10:55:38
73,2,877,22473,12130,0,ep_2018_xxcj_3CU2,23235,244281,3,0,5,"mouse",NaN,-1,0,01-Dec-2018 10:55:39,01-Dec-2018 10:55:39
73,2,877,22473,12130,0,ep_2018_xxcj_3CU2,23235,244282,3,0,5,"house",NaN,-1,0,01-Dec-2018 10:55:39,01-Dec-2018 10:55:39
73,2,877,22473,12130,0,ep_2018_xxcj_3CU2,23235,244283,3,0,5,"shout",NaN,-1,0,01-Dec-2018 10:55:39,01-Dec-2018 10:55:39
73,2,877,22473,12130,0,ep_2018_xxcj_3CU2,23235,244284,3,0,5,"mouth",NaN,-1,0,01-Dec-2018 10:55:39,01-Dec-2018 10:55:39
28,2,877,22473,12130,0,eg_2018_xxcj_3AU1.1,0,243210,1,0,2,"A",A,1,9,01-Dec-2018 10:55:33,01-Dec-2018 10:55:42
28,2,877,22473,12130,0,eg_2018_xxcj_3AU1.1,0,243211,3,0,2,"That",That,1,14,01-Dec-2018 10:55:44,01-Dec-2018 10:55:58
34,2,1184,33507,19277,0,evsj_2017tb_r_8au5.15,0,188812,3,0,1,"successful",successful,1,98,01-Dec-2018 10:54:23,01-Dec-2018 10:56:01
68,2,1184,33507,19277,0,evyy_2017tb_r_8au5.4,0,188869,1,0,2,"B",C,0,50,01-Dec-2018 10:55:17,01-Dec-2018 10:56:07
28,2,877,22473,12130,0,eg_2018_xxcj_3AU1.1,0,321788,3,0,2,"That's",That's,1,17,01-Dec-2018 10:56:00,01-Dec-2018 10:56:17
68,2,1184,33507,19277,0,evyy_2017tb_r_8au5.4,0,188875,1,0,2,"A",D,0,11,01-Dec-2018 10:56:07,01-Dec-2018 10:56:18
80,2,1184,33507,19277,0,evyy_2017tb_r_8au5.2,0,188834,3,0,2,"planning|lanning",plan to has,0,62,01-Dec-2018 10:55:26,01-Dec-2018 10:56:28
27,2,877,22473,12130,0,qz_2018_xxcj_3CU3.1.2,23459,247638,3,0,8,"five|5",five,1,14,01-Dec-2018 10:55:23,01-Dec-2018 10:56:33
27,2,877,22473,12130,0,qz_2018_xxcj_3CU3.1.2,23459,247639,3,0,8,"No|No, I can't",No,1,14,01-Dec-2018 10:55:37,01-Dec-2018 10:56:33
27,2,877,22473,12130,0,qz_2018_xxcj_3CU3.1.2,23459,247640,3,0,8,"Yes|Yes, she can",Yes,1,14,01-Dec-2018 10:55:51,01-Dec-2018 10:56:33
27,2,877,22473,12130,0,qz_2018_xxcj_3CU3.1.2,23459,247641,3,0,8,"Yes|Yes, they are",Yes,1,14,01-Dec-2018 10:56:05,01-Dec-2018 10:56:33
